Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,FRA,,97.3487,97.27084,97.31155,97.57172,,96.81501,96.94516,,98.94168,99.29482,98.85366,97.61584,95.46911,,94.87775,97.61482,99.88708,99.84556,99.85966,99.91749,99.98827,99.21937,97.83304,97.79167,98.94106,99.94659,99.9391,,96.57289,96.18632,96.09347,96.04528,95.82227,95.78781,99.23101,99.26235,99.18236,98.74538,98.38524,98.01978,99.03727,98.91622,98.91152,98.15483,98.99877,99.37467,99.468,,,
French Polynesia,PYF,,,,,,,,,,,,,,94.84164,94.59014,93.30883,,,,98.65302,99.62628,,,99.34081,,99.58108,99.38568,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,,20.92524,20.81935,22.07092,22.54759,23.69834,25.22417,29.18221,31.7409,35.70421,40.40406,48.89858,52.95195,56.37778,58.14528,60.93532,60.64459,,,,49.01772,,47.82232,51.04922,,,58.232,,58.89308,67.98373,64.5223,64.28849,62.1224,65.33112,65.77435,63.87335,68.63829,70.6714,66.6445,,67.89345,67.30464,70.27827,70.03975,69.82179,75.91325,77.65176,80.15436,81.80852,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,91.41798,98.29222,99.86955,,,,,,,94.62166,93.91598,92.8764,99.34911,98.5977,96.9221,,97.59425,98.77982,99.55879,99.31588,99.73715,97.95282,99.24104,99.21379,,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.86843,86.46473,82.93565,84.71067,84.99832,86.23536,87.06885,88.43977,88.84199,88.43606,88.17263,89.06942,88.75173,88.52846,88.18981,88.13653,89.44014,90.62417,90.35417,,,
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.79537,67.9238,62.47613,66.49101,65.83247,,70.60912,72.72937,78.03132,83.63321,84.10467,,92.02687,91.21756,,,,,85.74174,85.00771,86.69982,
Gibraltar,GIB,,,,,,,,,72.74156,71.14635,,71.02273,73.52637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.70191,,,,
Greece,GRC,,91.89007,92.33958,93.45366,95.04823,95.40773,95.60764,95.05127,94.34745,93.37635,91.72432,93.2125,93.42299,94.2614,94.1936,94.07422,93.17156,90.95459,91.72147,91.19082,90.8961,90.62979,88.94075,87.30481,86.98576,88.64463,88.44979,89.63678,97.02981,97.85824,99.11835,97.67905,97.63761,97.43913,96.97461,95.94704,95.73373,95.52686,,,96.81343,96.95325,97.73128,97.49025,96.53303,97.32526,97.94221,98.22037,,,
Grenada,GRD,,,83.78448,,,,,97.65401,98.77285,98.48642,95.90462,91.17594,88.06265,88.10934,90.56162,,,,,,,,,,,,,,,99.7502,,,99.18575,,99.67625,96.52311,,98.8071,98.73716,,,,,,,,,,99.23558,,
Guatemala,GTM,45.95251,47.12064,47.8403,,49.11799,50.10291,,,52.317,52.81906,54.64924,57.53732,54.64903,58.17684,,,,,,,,,,,,,,71.03313,,80.79316,83.54524,82.77562,86.05956,,90.71364,92.28014,93.91345,95.05148,95.04337,97.99573,,,,89.9423,88.09642,87.80667,87.19765,88.19802,89.21348,,
Guinea,GIN,,,,,,,,,,,,,,,24.83169,27.59924,25.54254,23.66751,24.57839,24.47122,23.80892,25.84697,,,,,,,40.86318,43.00455,45.75882,48.92625,55.94373,59.10019,61.84531,63.59582,65.57848,67.55235,66.59745,67.9527,70.28759,74.37522,74.17666,75.47206,79.30492,,78.08732,,,,
Guinea-Bissau,GNB,,,,,,,,,,,,44.68078,53.60749,,50.50885,49.97589,,41.01244,39.54844,,,,,,,,,,,,49.18684,,,,,,,,,,72.66824,,,,,,,,,,
Guyana,GUY,,86.85752,88.05772,,90.53286,,86.89338,91.75515,,88.68043,,,88.87672,,,,,,,,,91.87291,89.64668,88.06664,,89.89822,88.43708,,,,,,,91.33466,,,,,96.6475,91.64029,95.70231,97.3912,97.28117,,,,,,,,
Haiti,HTI,,,,,,,,,,,36.70574,37.70189,43.19618,47.48522,44.07646,49.18699,51.36301,42.54737,,,,,,,,,,58.11227,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,,,,,,,,,71.81882,75.19104,75.63177,,85.80698,87.31887,88.30769,,88.13968,,,,,86.26625,,87.56326,,,,,,,85.74906,,,90.41757,90.92946,86.30756,89.88248,84.49307,87.56264,86.38392,87.47124,87.69119,84.39327,80.15938,79.92251,78.42569,79.95579,80.47058,,,
"Hong Kong SAR, China",HKG,,88.46549,89.63404,89.60049,91.10855,92.74867,93.85348,95.10725,94.6876,95.07646,99.23593,98.9472,98.2008,97.83636,97.16339,96.0005,,,,,,,,,,93.90261,93.80741,,,,,,,,,,,,,,,,99.27739,99.25178,98.96994,98.58053,97.17614,96.54356,96.26568,,
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,91.54598,90.50608,78.42221,87.00003,98.38445,98.609,96.8381,97.57593,98.04089,95.93472,95.57372,96.36239,96.97437,96.16023,97.01813,97.50267,97.27224,96.63328,96.1399,96.78749,96.96363,96.37729,96.86899,96.50686,,,
Iceland,ISL,,,,,,,,99.1299,,,,,,,,,,,,,,,,,97.33665,,97.9898,98.47849,99.51725,98.89011,98.91577,99.25604,99.28735,98.28539,96.62122,96.82525,97.32263,98.14066,99.22781,99.72259,99.30476,98.78802,98.24204,98.10257,98.21974,98.6384,99.51819,99.92112,,,
India,IND,,61.04195,,,,,,,,,,,,,,,,,,,77.12007,,,,,,,,,,83.85499,83.79816,83.6246,88.46232,,,,96.78945,96.84171,95.53715,96.12032,95.71761,96.98764,97.73768,,,,,,,
Indonesia,IDN,,70.05028,71.18559,,70.91468,73.36134,76.27509,78.66262,85.4446,,,90.12354,96.03236,97.42245,97.70897,97.82536,97.21808,98.05198,97.76875,97.87723,96.23255,95.32152,94.45806,93.25455,93.78734,93.61081,92.51603,92.46189,,,,96.15226,95.45687,94.9515,94.2013,93.25168,94.59911,96.9568,96.09268,96.83722,97.25383,96.83061,95.94703,93.72643,93.17534,,93.62147,94.9388,94.37668,,
"Iran, Islamic Rep.",IRN,,59.36177,,,,,,,,,,,,,83.18713,83.3176,84.19432,84.43713,85.16197,85.4723,91.44414,,95.09933,,,,,91.55973,,85.45824,86.16734,,97.12907,96.04654,97.76144,95.32962,95.87482,95.22357,,97.80043,96.64524,96.7942,98.02288,98.80368,99.62784,99.76909,99.7847,99.77089,,,
Iraq,IRQ,,57.12095,59.67378,62.28035,64.72418,64.5203,72.53122,73.82683,75.4489,89.96211,93.51063,92.72885,,88.39691,,87.40411,88.10204,89.86442,90.97534,89.92145,,,,78.60533,,,76.13983,,,90.0423,88.89713,,,94.37695,92.99956,,,,,,,,,,,,,,,,
Ireland,IRL,,97.7837,97.02108,97.22484,96.06486,95.8424,95.95459,95.94391,95.83157,95.02001,93.77915,91.9501,89.98083,88.43755,,,87.04801,87.66118,88.55462,89.00253,89.36873,88.84745,87.95219,87.58849,87.64264,87.94268,88.80624,,99.76707,99.90151,99.95917,99.81717,99.78042,99.98098,99.90806,99.74148,99.88266,99.82496,99.92555,99.97364,,,99.75201,99.54467,99.58676,99.95062,99.97016,99.88462,,,
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.60344,97.85012,98.31112,97.98884,98.0774,97.65851,97.54599,97.06853,97.29765,97.26942,96.9691,97.38332,97.01667,97.66493,97.25985,97.05817,97.555,97.05013,97.32018,,,
Italy,ITA,,,,99.4926,,,98.38009,,,99.50328,,,,,,99.00927,,,,,,,,,,97.06267,98.22957,99.13519,,99.88312,99.68455,99.56583,99.44093,99.38412,99.39126,99.17106,99.08382,99.1077,99.10081,99.17129,99.29683,99.05555,99.46236,99.63949,98.89812,98.26567,97.69825,97.24291,,,
Jamaica,JAM,,,,,,95.1505,92.50368,92.97177,,96.48257,96.50106,96.40776,,97.44464,96.24322,95.49819,95.70327,97.76091,94.64053,98.10415,97.36788,95.72525,,92.6702,,,,,,91.38463,92.8489,92.86926,92.07298,90.81578,92.80977,,,,,,,,,,,85.39281,84.39417,82.8713,81.38229,,
